# Time-averaged data for fix 3
# TimeStep c_myRg
154900 6.80083
155000 6.80104
155100 6.80126
155200 6.80149
155300 6.8017
155400 6.80193
155500 6.80216
155600 6.80242
155700 6.80269
155800 6.80296
155900 6.80322
156000 6.80346
156100 6.8037
156200 6.80394
156300 6.80417
156400 6.8044
156500 6.80461
156600 6.80481
156700 6.80503
156800 6.80525
156900 6.80546
157000 6.80568
157100 6.80591
157200 6.80614
157300 6.80637
157400 6.80662
157500 6.80686
157600 6.8071
157700 6.80733
157800 6.80761
157900 6.80788
158000 6.80813
158100 6.80838
158200 6.80864
158300 6.80893
158400 6.80922
158500 6.80949
158600 6.80974
158700 6.81
158800 6.81026
158900 6.8105
159000 6.81075
159100 6.81097
159200 6.81116
159300 6.81137
159400 6.81157
159500 6.81179
159600 6.81203
159700 6.81228
159800 6.81253
159900 6.81277
160000 6.813
160100 6.81324
160200 6.81347
160300 6.81372
160400 6.814
160500 6.81428
160600 6.81454
160700 6.81481
160800 6.81506
160900 6.81528
161000 6.8155
161100 6.81571
161200 6.81592
161300 6.81612
161400 6.81631
161500 6.81649
161600 6.81665
161700 6.81679
161800 6.8169
161900 6.81702
162000 6.81716
162100 6.81731
162200 6.81746
162300 6.8176
162400 6.81772
162500 6.81784
162600 6.81792
162700 6.81801
162800 6.81807
162900 6.8181
163000 6.81812
163100 6.81815
163200 6.81816
163300 6.81814
163400 6.81814
163500 6.81814
163600 6.81812
163700 6.81809
163800 6.81805
163900 6.81802
164000 6.81799
164100 6.81799
164200 6.81799
164300 6.81799
164400 6.81801
164500 6.81807
164600 6.81814
164700 6.81821
164800 6.81827
164900 6.81837
165000 6.81847
165100 6.81855
165200 6.8186
165300 6.81868
165400 6.81876
165500 6.81884
165600 6.81891
165700 6.81897
165800 6.81903
165900 6.81906
166000 6.81908
166100 6.8191
166200 6.81912
166300 6.81916
166400 6.81921
166500 6.81926
166600 6.81933
166700 6.81939
166800 6.81944
166900 6.81949
167000 6.81955
167100 6.81962
167200 6.8197
167300 6.81978
167400 6.81986
167500 6.81995
167600 6.82004
167700 6.82014
167800 6.82023
167900 6.82034
168000 6.82046
168100 6.82059
168200 6.82071
168300 6.82081
168400 6.82091
168500 6.82101
168600 6.82111
168700 6.8212
168800 6.82127
168900 6.82137
169000 6.82147
169100 6.82157
169200 6.82166
169300 6.82174
169400 6.82182
169500 6.82195
169600 6.82207
169700 6.82222
169800 6.8224
169900 6.8226
170000 6.82281
170100 6.82299
170200 6.82316
170300 6.8233
170400 6.82344
170500 6.82357
170600 6.82369
170700 6.8238
170800 6.82393
170900 6.82408
171000 6.82423
171100 6.82436
171200 6.82448
171300 6.82458
171400 6.82464
171500 6.82472
171600 6.8248
171700 6.8249
171800 6.82497
171900 6.82501
172000 6.82504
172100 6.82506
172200 6.82507
172300 6.8251
172400 6.82517
172500 6.82525
172600 6.82533
172700 6.8254
172800 6.82548
172900 6.82555
173000 6.82563
173100 6.8257
173200 6.82576
173300 6.82585
173400 6.82595
173500 6.82606
173600 6.82618
173700 6.82634
173800 6.82648
173900 6.82663
174000 6.82679
174100 6.82694
